,count,acc_created,categorie
245,10,2016-01-01,more
246,0,2016-01-01,0
247,0,2016-01-01,0
248,0,2016-01-01,0
249,0,2016-01-01,0
250,16,2016-01-01,more
251,4,2016-01-01,more
252,3,2016-01-01,more
253,3,2016-01-01,more
254,9,2016-01-01,more
255,0,2016-01-01,0
256,18,2016-01-01,more
257,15,2016-01-01,more
258,29,2016-01-01,more
259,6,2016-01-01,more
260,0,2016-01-01,0
261,6,2016-01-01,more
262,4,2016-01-01,more
263,0,2016-01-01,0
264,3,2016-01-01,more
265,0,2016-01-01,0
266,5,2016-01-01,more
267,5,2016-01-01,more
268,11,2016-01-01,more
269,19,2016-01-01,more
270,0,2016-01-01,0
271,0,2016-01-01,0
272,6,2016-01-01,more
273,3,2016-01-01,more
274,0,2016-01-01,0
275,0,2016-01-01,0
276,0,2016-01-01,0
277,3,2016-01-01,more
278,1,2016-01-01,1
279,0,2016-01-01,0
280,1,2016-01-01,1
281,8,2016-01-01,more
282,0,2016-01-01,0
283,17,2016-01-01,more
284,0,2016-01-01,0
285,14,2016-01-01,more
286,0,2016-01-01,0
287,0,2016-01-01,0
288,0,2016-01-01,0
289,0,2016-01-01,0
290,0,2016-01-01,0
291,0,2016-01-01,0
292,0,2016-01-01,0
293,0,2016-01-01,0
294,5,2016-01-01,more
295,17,2016-01-01,more
296,2,2016-01-01,2
297,6,2016-01-01,more
298,5,2016-01-01,more
299,9,2016-01-01,more
300,0,2016-01-01,0
301,5,2016-01-01,more
302,18,2016-01-01,more
303,6,2016-01-01,more
304,2,2016-01-01,2
305,10,2016-01-01,more
306,1,2016-01-01,1
307,18,2016-01-01,more
308,0,2016-01-01,0
309,0,2016-01-01,0
310,2,2016-01-01,2
311,0,2016-01-01,0
312,0,2016-01-01,0
313,0,2016-01-01,0
314,10,2016-01-01,more
315,0,2016-01-01,0
316,0,2016-01-01,0
317,6,2016-01-01,more
318,0,2016-01-01,0
319,7,2016-01-01,more
320,0,2016-01-01,0
321,10,2016-01-01,more
322,0,2016-01-01,0
323,26,2016-01-01,more
324,0,2016-01-01,0
325,0,2016-01-01,0
326,2,2016-01-01,2
327,2,2016-01-01,2
328,2,2016-01-01,2
329,23,2016-01-01,more
330,15,2016-01-01,more
331,0,2016-01-01,0
332,0,2016-01-01,0
333,19,2016-01-01,more
334,0,2016-01-01,0
335,0,2016-01-01,0
336,2,2016-01-01,2
337,1,2016-01-01,1
338,6,2016-01-01,more
339,0,2016-01-01,0
340,3,2016-01-01,more
341,0,2016-01-01,0
342,2,2016-01-01,2
343,3,2016-01-01,more
344,1,2016-01-01,1
345,19,2016-01-01,more
346,3,2016-01-01,more
347,0,2016-01-01,0
348,0,2016-01-01,0
349,0,2016-01-01,0
350,0,2016-01-01,0
351,18,2016-01-01,more
352,0,2016-01-01,0
353,24,2016-01-01,more
354,0,2016-01-01,0
355,12,2016-01-01,more
356,13,2016-01-01,more
357,0,2016-01-01,0
358,0,2016-01-01,0
359,2,2016-01-01,2
360,0,2016-01-01,0
361,9,2016-01-01,more
362,0,2016-01-01,0
363,3,2016-01-01,more
364,3,2016-01-01,more
365,2,2016-01-01,2
366,24,2016-01-01,more
367,0,2016-01-01,0
368,11,2016-01-01,more
369,0,2016-01-01,0
370,0,2016-01-01,0
371,1,2016-01-01,1
372,0,2016-01-01,0
373,0,2016-01-01,0
374,13,2016-01-01,more
375,0,2016-01-01,0
376,0,2016-01-01,0
377,13,2016-01-01,more
378,9,2016-01-01,more
379,3,2016-01-01,more
380,0,2016-01-01,0
381,0,2016-01-01,0
382,0,2016-01-01,0
383,3,2016-01-01,more
384,0,2016-01-01,0
385,0,2016-01-01,0
386,2,2016-01-01,2
387,0,2016-01-01,0
388,9,2016-01-01,more
389,0,2016-01-01,0
390,0,2016-01-01,0
391,0,2016-01-01,0
392,17,2016-01-01,more
